"Time, min",Tin,Tout,DT,"flow, lpm",Pressure (MPag),"Air Flow, m/s",,,
0,67.516165,64.442427,3.073738,0.46,0.015302,0, , , 
0.029716667,67.511149,64.425216,3.085933,0.46,0.01541,0, , , 
0.059383333,67.506849,64.440993,3.065856,0.45,0.01524,0, , , 
0.089083333,67.499684,64.397248,3.102436,0.46,0.015471,0, , , 
0.118716667,67.510757,64.381471,3.129286,0.46,0.015379,0, , , 
0.14885,67.52763,64.399399,3.128231,0.46,0.015382,0, , , 
0.178716667,67.524764,64.414459,3.110305,0.46,0.015526,0, , , 
0.20835,67.539453,64.424857,3.114596,0.46,0.015571,0, , , 
0.238033333,67.56095,64.427367,3.133583,0.46,0.01555,0, , , 
0.2677,67.555934,64.423423,3.132511,0.46,0.015489,0, , , 
0.29765,67.551602,64.406571,3.145031,0.46,0.015455,0, , , 
0.327383333,67.53587,64.419479,3.116391,0.46,0.015426,0, , , 
0.3571,67.512907,64.454259,3.058648,0.46,0.015456,0, , , 
0.387,67.525805,64.430594,3.095211,0.46,0.015386,0, , , 
0.416666667,67.536196,64.433104,3.103092,0.46,0.015388,0, , , 
0.446716667,67.550494,64.439898,3.110596,0.46,0.015268,0, , , 
0.4766,67.540137,64.440257,3.09988,0.46,0.015403,0, , , 
0.5063,67.52219,64.454259,3.067931,0.46,0.015383,0, , , 
0.53605,67.538312,64.47147,3.066842,0.46,0.015378,0, , , 
0.56595,67.526847,64.456769,3.070078,0.46,0.015403,0, , , 
0.595616667,67.511116,64.393662,3.117454,0.46,0.01541,0, , , 
0.625283333,67.513591,64.414459,3.099132,0.46,0.01529,0, , , 
0.655016667,67.529355,64.409421,3.119934,0.46,0.015482,0, , , 
0.684716667,67.548703,64.439898,3.108805,0.46,0.015371,0, , , 
0.714583333,67.53258,64.393304,3.139276,0.46,0.015501,0, , , 
0.744683333,67.534013,64.405136,3.128877,0.46,0.015297,0, , , 
0.774516667,67.540462,64.378943,3.161519,0.46,0.015491,0, , , 
0.80455,67.535804,64.44456,3.091244,0.46,0.015384,0, , , 
0.8344,67.514633,64.451014,3.063619,0.46,0.015374,0, , , 
0.86445,67.530755,64.43954,3.091215,0.46,0.015371,0, , , 
0.894283333,67.533263,64.442427,3.090836,0.46,0.015541,0, , , 
0.9242,67.514633,64.411931,3.102702,0.46,0.015628,0, , , 
0.954283333,67.53538,64.456751,3.078629,0.46,0.015503,0, , , 
0.984116667,67.510692,64.448504,3.062188,0.46,0.015341,0, , , 
1.013833333,67.513167,64.445635,3.067532,0.46,0.015357,0, , , 
1.043583333,67.479846,64.420178,3.059668,0.46,0.015457,0, , , 
1.07345,67.501734,64.454958,3.046776,0.46,0.015435,0, , , 
7.860116667,67.765914,63.985875,3.780039,0.36,0.016146,0, , , 
7.889983333,67.757674,63.994481,3.763193,0.36,0.016251,0, , , 
7.91955,67.762689,64.018508,3.744181,0.36,0.016315,0, , , 
7.949216667,67.75839,63.971154,3.787236,0.36,0.01627,0, , , 
7.979083333,67.763438,63.924534,3.838904,0.36,0.016202,0, , , 
8.009233333,67.769887,63.89441,3.875477,0.36,0.016239,0, , , 
8.038833333,67.771678,63.965057,3.806621,0.36,0.016343,0, , , 
8.06855,67.76093,63.967926,3.793004,0.36,0.016264,0, , , 
8.098283333,67.776694,63.906962,3.869732,0.36,0.016276,0, , , 
8.127916667,67.771678,63.956791,3.814887,0.36,0.016309,0, , , 
8.157633333,67.756273,63.956092,3.800181,0.36,0.016189,0, , , 
8.1873,67.75484,63.972929,3.781911,0.36,0.016205,0, , , 
8.217083333,67.751615,63.969002,3.782613,0.36,0.01636,0, , , 
8.247233333,67.745134,63.985857,3.759277,0.36,0.016345,0, , , 
8.276783333,67.752658,63.958584,3.794074,0.36,0.0163,0, , , 
8.306583333,67.757706,63.925592,3.832114,0.36,0.016185,0, , , 
8.336183333,67.755166,63.932405,3.822761,0.36,0.016217,0, , , 
8.366016667,67.75015,63.93956,3.81059,0.36,0.016287,0, , , 
8.395816667,67.748,63.97829,3.76971,0.36,0.016283,0, , , 
8.42555,67.753374,63.939201,3.814173,0.36,0.016227,0, , , 
8.45525,67.753016,63.90836,3.844656,0.36,0.016153,0, , , 
8.484983333,67.738327,63.933104,3.805223,0.36,0.016073,0, , , 
8.514616667,67.731162,63.925197,3.805965,0.36,0.016099,0, , , 
8.5443,67.714323,63.896149,3.818174,0.36,0.01609,0, , , 
8.57395,67.695335,63.900452,3.794883,0.36,0.015998,0, , , 
8.603666667,67.718981,63.896508,3.822473,0.36,0.015908,0, , , 
8.63335,67.703933,63.918742,3.785191,0.36,0.016146,0, , , 
8.6632,67.720023,63.913363,3.80666,0.36,0.015872,0, , , 
8.693333333,67.734712,63.886466,3.848246,0.36,0.015984,0, , , 
8.7232,67.730803,63.907965,3.822838,0.36,0.015857,0, , , 
8.753216667,67.741877,63.902586,3.839291,0.36,0.015937,0, , , 
8.783133333,67.707842,63.90151,3.806332,0.36,0.016139,0, , , 
24.85056667,68.00329,63.529962,4.473328,0.24,0.016897,0, , , 
24.88031667,68.004754,63.539988,4.464766,0.24,0.016804,0, , , 
24.91015,68.005439,63.536402,4.469037,0.24,0.016971,0, , , 
24.93985,68.010813,63.5529,4.457913,0.24,0.016854,0, , , 
24.9696,68.014396,63.542124,4.472272,0.24,0.016725,0, , , 
24.9993,67.993259,63.55145,4.441809,0.24,0.016757,0, , , 
25.029,68.002184,63.54858,4.453604,0.24,0.016758,0, , , 
25.05865,68.012573,63.555753,4.45682,0.24,0.016708,0, , , 
25.0883,68.018305,63.539972,4.478333,0.24,0.016645,0, , , 
25.11798333,68.036218,63.523474,4.512744,0.24,0.016679,0, , , 
25.14768333,68.040158,63.524191,4.515967,0.24,0.016814,0, , , 
25.17736667,68.047682,63.520246,4.527436,0.24,0.016808,0, , , 
25.20701667,68.053741,63.551434,4.502307,0.24,0.016702,0, , , 
25.23706667,68.06237,63.551434,4.510936,0.24,0.01682,0, , , 
25.26693333,68.052339,63.553227,4.499112,0.24,0.016705,0, , , 
25.29663333,68.058756,63.562911,4.495845,0.24,0.016686,0, , , 
25.3263,68.06413,63.574746,4.489384,0.24,0.016517,0, , , 
25.35625,68.075266,63.541391,4.533875,0.24,0.01655,0, , , 
25.3862,68.070937,63.534577,4.53636,0.24,0.016689,0, , , 
25.41588333,68.075625,63.488309,4.587316,0.24,0.016548,0, , , 
25.44583333,68.081684,63.490087,4.591597,0.24,0.016515,0, , , 
25.47555,68.078491,63.510172,4.568319,0.24,0.016819,0, , , 
25.50515,68.078849,63.494032,4.584817,0.24,0.016648,0, , , 
25.5347,68.07022,63.488293,4.581927,0.24,0.016735,0, , , 
25.56438333,68.071684,63.500129,4.571555,0.24,0.016841,0, , , 
25.59405,68.083117,63.481837,4.60128,0.24,0.016707,0, , , 
25.62368333,68.065594,63.489369,4.576225,0.24,0.016692,0, , , 
25.65363333,68.050189,63.4768,4.573389,0.24,0.016825,0, , , 
25.68336667,68.050579,63.507661,4.542918,0.24,0.016807,0, , , 
25.71305,68.045174,63.510874,4.5343,0.24,0.016863,0, , , 
25.74276667,68.030486,63.502266,4.52822,0.24,0.01683,0, , , 
25.77243333,68.025828,63.542436,4.483392,0.24,0.016796,0, , , 
25.80233333,68.034099,63.515536,4.518563,0.24,0.016776,0, , , 
25.83231667,68.016545,63.532035,4.48451,0.24,0.016919,0, , , 
25.86203333,68.00329,63.533828,4.469462,0.24,0.016753,0, , , 
25.89168333,68.014396,63.53598,4.478416,0.24,0.016776,0, , , 
25.9214,68.00114,63.52522,4.47592,0.24,0.016728,0, , , 
25.95105,68.035174,63.495451,4.539723,0.24,0.016725,0, , , 
25.98076667,68.038787,63.515162,4.523625,0.24,0.016769,0, , , 
26.01045,68.031591,63.482898,4.548693,0.24,0.01672,0, , , 
26.0401,68.029473,63.517672,4.511801,0.24,0.016695,0, , , 
26.06981667,68.036607,63.469627,4.56698,0.24,0.016616,0, , , 
26.09971667,68.043086,63.458851,4.584235,0.24,0.016808,0, , , 
26.12978333,68.042012,63.455982,4.58603,0.24,0.01691,0, , , 
26.1594,68.040189,63.471405,4.568784,0.24,0.016799,0, , , 
