Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop,(psig) Makeup Temperature (L/min)
7511371.429,1.091404,49.873313,-37.326099,18.97191,25.563904,34.490304,24.428305,23.093353,86.155509,50,84.832667,1.5,1.471062,10,90.655105,0.474595,24.82344
7511378.68,1.097242,50.161063,-37.8732,39.75815,28.56771,36.915527,24.336081,23.133648,86.150712,50,85.187287,1.5,0,10,54.313818,0.464149,24.94489
7511441.832,1.522361,49.895959,-37.694931,8.031622,41.399285,48.212092,23.829873,23.098989,86.157555,49.95,85.250655,1.5,54.693702,10,21.462927,0.578744,24.820877
7511512.677,1.526393,40.598911,-38.371124,9.75305,49.85901,59.420329,23.456877,23.140023,86.158271,30,53.018427,1.5,37.964369,10,20.837618,0.489034,24.97
7511615.019,1.485901,30.121919,-36.92653,9.21203,56.341483,64.233171,23.245787,23.024819,86.160568,30,60.156652,1.5,6.309283,10,21.879214,0.547407,24.760408
7511620.807,1.524125,30.094034,-38.371124,10.404733,56.470396,64.585212,23.383098,22.961112,86.15351,30,60.014803,1.5,29.758844,10,21.083599,0.622063,24.771682
7511629.533,1.436883,29.99231,-36.425533,9.848343,57.08716,64.840266,23.333912,23.198709,86.158541,30,59.76371,1.5,24.205142,10,21.999151,0.559696,24.675341
7511636.457,1.461161,29.93916,-37.753329,9.248918,57.121375,65.127684,23.378999,23.126255,86.156672,30,60.194687,1.5,0.435781,10,21.632852,0.55478,24.731199
7511655.892,1.495436,30.412803,-38.195928,11.834133,57.196249,65.338966,23.155612,23.167173,86.154171,30,59.592904,1.5,37.536288,10,21.191293,0.667532,24.678929
7511661.973,1.416932,29.56805,-37.76255,6.178013,57.989367,65.590349,23.458927,23.094717,86.156263,30,60.395218,1.5,0.194597,10,22.443916,0.469372,24.670217
7511668.914,1.482079,30.29785,-37.34454,11.084083,58.316079,65.966237,23.135118,23.123437,86.151483,30,59.799075,1.5,2.55207,10,21.360499,0.569527,24.857774
7511678.629,1.537776,29.867248,-36.278,9.909823,58.228412,66.099344,23.395395,23.206726,86.155788,30,60.354155,1.5,51.91245,10,22.080111,0.684737,24.672779
7511694.686,1.474434,30.268833,-38.371124,11.320779,58.686275,66.616483,23.087981,23.0675,86.157072,30,59.538711,1.5,3.231832,10,22.40286,0.573214,24.86751
7511740.62,1.531601,49.848239,-36.868132,18.203416,60.094166,66.481485,23.362604,23.119625,86.160075,50,85.133852,1.5,70.752891,20,35.608775,0.671833,24.674829
7511744.539,1.445158,50.153249,-37.842464,19.509857,60.397543,66.6335,23.108475,23.211047,86.153492,50,84.877707,1.5,69.309948,20,35.730208,0.585196,24.66458
7511762.879,1.477249,49.920857,-37.37835,18.852025,61.782916,67.708792,23.229391,23.287077,86.154989,50,85.1336,1.5,1.896177,20,34.461111,0.570756,24.550304
7511765.769,1.488926,49.995873,-37.295363,19.81418,62.026609,67.806992,23.044943,23.188753,86.156039,50,85.149673,1.5,5.615484,20,34.846208,0.414378,24.591812
7511773.526,1.503333,50.172526,-38.186707,19.93714,62.053881,68.192539,23.186353,23.194298,86.154542,50,84.665011,1.5,42.833797,20,35.235524,0.61131,24.496496
