Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop,(psig) Makeup Temperature (L/min)
7359342.166,1.526015,20.188334,-37.086358,0.362047,23.659133,23.479783,23.850367,23.564607,85.814605,20,45.621674,1.5,7.257105,10,99.904727,0.50501,25.155507
7359347.711,1.501611,19.737234,-37.172418,-1.082723,23.820539,23.499369,23.680265,23.52248,85.815897,20,46.192051,1.5,12.326563,10,98.494904,0.623906,25.166781
7359358.263,1.51312,20.086477,-34.876437,-2.761115,23.737807,23.678611,23.708957,23.490491,85.81666,20,45.817613,1.5,33.818825,10,99.053255,0.509925,25.029957
7359370.656,1.458683,19.932677,-37.630385,-2.026434,23.845358,23.648359,23.522459,23.528289,85.811611,20,46.179499,1.5,2.289259,10,99.009357,0.583967,25.122198
7359378.838,1.51921,20.159036,-38.082205,-1.580707,23.877567,23.673557,23.323665,23.645427,85.811248,20,45.794438,1.5,24.417335,10,98.471503,0.587961,25.007922
7359384.751,1.523453,20.046615,-38.371124,0.030057,23.846946,23.687228,23.524508,23.670449,85.811713,20,45.570691,1.5,59.50007,10,98.208804,0.576286,25.129885
7359397.424,1.442008,20.286732,-37.292289,-0.372634,23.996983,23.655178,23.065437,23.495769,85.809556,20,45.685684,1.5,1.086673,10,98.674987,0.583045,25.165244
7359409.455,1.511566,19.962431,-37.009517,8.944594,24.021421,40.157662,23.122821,23.525702,85.813815,20,46.166516,1.5,26.645635,10,94.613201,0.422981,25.15192
7359424.301,1.475989,19.811397,-37.845537,22.583835,27.878312,45.171807,23.23349,23.5512,85.816651,20,46.620534,1.5,1.999178,10,39.719237,0.58028,25.02022
7359436.062,1.49027,19.580756,-36.505447,13.613967,30.730635,45.826493,23.059289,23.633072,85.810365,20,46.597061,1.5,31.24364,10,26.804635,0.453089,25.136034
7359438.146,1.528745,19.832719,-38.177487,12.648737,31.048495,46.071441,23.145365,23.497247,85.812318,20,46.624253,1.5,47.80054,10,27.033167,0.614689,25.094526
7359461.897,1.514632,20.139171,-36.443974,11.330001,34.670485,48.186139,22.723183,23.507594,85.811778,20,46.108452,1.5,15.193619,10,20.831594,0.522829,25.079152
7359464.6,1.534206,20.143689,-37.701078,10.106557,34.691412,49.325018,23.112574,23.59813,85.807222,20,45.970868,1.5,27.519312,10,20.488884,0.614996,24.963338
7359472.683,1.471956,19.683848,-37.061769,8.406648,35.946134,48.896947,22.880989,23.597287,85.808384,20,46.656527,1.5,37.54084,10,21.360461,0.677056,25.050455
7359487.596,1.479013,20.080621,-36.702157,5.882912,38.68895,51.813449,23.010103,23.529293,85.811267,20,46.426257,1.5,3.538645,10,20.694198,0.572907,24.928492
7359493.91,1.524419,20.059034,-37.737961,10.158815,39.278007,52.079659,22.866643,23.598453,85.815451,20,46.17887,1.5,21.109326,10,20.865431,0.528359,24.957189
7359505.593,1.449274,20.035049,-37.698005,6.138052,40.133235,53.553715,22.844099,23.484843,85.808524,20,46.561335,1.5,24.2412,10,22.312504,0.598099,24.999722
7359520.25,1.534038,19.782806,-37.568913,10.543062,42.076005,55.242424,22.768271,23.493609,85.808924,20,46.397966,1.5,6.219311,10,20.104025,0.472137,25.0976
7359526.401,1.500519,20.186995,-37.264627,9.559389,42.506143,55.4091,22.657602,23.493771,85.811034,20,46.372623,1.5,28.455446,10,21.927455,0.534196,25.060704
7359534.597,1.493672,20.066171,-37.946966,10.567654,43.290763,56.104411,22.786715,23.533416,85.812597,20,46.031132,1.5,17.949832,10,20.152432,0.48504,25.079665
7359548.636,1.480399,20.213114,-37.965408,7.647375,44.767502,57.022167,22.885088,23.479092,85.811127,20,46.211442,1.5,4.465517,10,20.567811,0.483504,25.040206
7359556.379,1.536852,20.013815,-38.312725,11.9325,45.553235,57.76685,22.495697,23.476194,85.808394,20,46.087291,1.5,43.969911,10,20.674731,0.571678,25.051992
7359567.279,1.425038,20.270031,-36.84969,11.526735,46.457202,58.807472,22.505944,23.529779,85.802489,20,46.176228,1.5,1.685155,10,20.547397,0.435884,25.081202
7359578,1.458221,19.710953,-38.371124,8.843152,46.988366,59.510951,22.749826,23.638419,85.807129,20,46.78062,1.5,0.805313,10,21.774052,0.555088,24.951552
7359589.602,1.544413,19.544601,-37.897789,12.753253,48.089908,60.608255,22.462906,23.544827,85.811127,20,46.425444,1.5,27.661412,10,20.043665,0.480125,25.053017
7359606.132,1.450786,19.65976,-37.633459,9.73768,49.401989,61.447331,22.704738,23.611075,85.807371,20,46.510844,1.5,2.290229,10,21.641432,0.500094,24.911068
7359612.217,1.460615,20.192233,-36.545403,8.975334,49.871245,61.783676,22.840001,23.634724,85.808384,20,46.328724,1.5,3.001576,10,21.408185,0.651864,25.050455
7359620.8,1.489808,19.955,-37.624238,7.072541,49.965541,62.174881,22.727282,23.640636,85.80778,20,46.209324,1.5,7.064315,10,22.689456,0.575979,25.066853
7359629.356,1.482961,20.136052,-37.780992,9.46717,50.222293,62.440127,22.643256,23.615613,85.808487,20,46.660863,1.5,47.521806,10,20.794828,0.592569,24.924905
7359641.356,1.482583,19.610289,-37.544324,9.676201,50.924547,63.084534,22.835902,23.633453,85.803066,20,46.644675,1.5,0.426125,10,21.777786,0.512076,24.980762
