Time,Gas1,Liquid1,Gas2
0,22.461555,22.007742,22.206536
0.367,21.914917,21.952748,21.821923
0.734,20.981555,21.88494,21.541388
1.101,20.025179,21.800454,21.271938
1.468,19.349072,21.690295,20.987314
1.835,19.119828,21.554862,20.752101
2.202,18.960326,21.45122,20.507227
2.569,18.709331,21.316845,20.084527
2.936,18.450818,21.151877,19.314491
3.303,18.162126,20.980261,18.729504
3.67,17.995409,20.820972,18.325374
4.037,17.833832,20.631642,17.814175
4.404,17.714389,20.45981,17.182245
4.771,17.581216,20.247133,16.685664
5.138,17.392058,20.056672,16.228622
5.505,17.228344,19.874853,15.845741
5.872,17.066646,19.662243,15.496555
6.239,16.966798,19.45284,15.227132
6.606,16.874699,19.265278,14.959013
6.973,16.816643,19.094989,14.754268
7.34,16.761414,18.879856,14.546158
7.707,16.694277,18.682882,14.395241
8.074,16.669929,18.510199,14.240981
8.441,16.6205,18.253437,14.073878
8.808,16.593723,18.059084,13.994182
9.175,16.575156,17.823464,13.859626
9.542,16.563213,17.622997,13.762342
9.909,16.544402,17.415878,13.65005
10.276,16.512371,17.205565,13.563595
10.643,16.501703,17.004641,13.489243
11.01,16.487551,16.794647,13.39465
11.377,16.466213,16.592787,13.321658
11.744,16.422877,16.358854,13.223776
12.111,16.39573,16.138589,13.141051
12.478,16.343253,15.93439,13.075441
12.845,16.344925,15.730981,13.023593
13.212,16.315007,15.536818,12.949806
13.579,16.264613,15.349986,12.872465
13.946,16.221881,15.149842,12.80914
14.313,16.20492,14.96171,12.742148
14.68,16.161648,14.797369,12.668836
15.047,16.110578,14.581101,12.621005
15.414,16.08456,14.397312,12.537972
15.781,16.079001,14.173714,12.471276
16.148,16.025383,13.976413,12.420876
16.515,15.998943,13.786369,12.325166
16.882,15.915273,13.581136,12.257171
17.249,15.90145,13.41708,12.197553
17.616,15.87256,13.227555,12.156278
17.983,15.847837,13.03104,12.072871
18.35,15.801833,12.869533,11.991255
18.717,15.765714,12.671432,11.93522
19.084,15.705132,12.479181,11.86577
19.451,15.672252,12.290099,11.7642
19.818,15.629856,12.090861,11.721269
20.185,15.566624,11.866805,11.627077
20.552,15.542409,11.660627,11.562121
20.919,15.502066,11.45444,11.505271
21.286,15.460348,11.252206,11.42966
21.653,15.408226,11.045871,11.388628
22.02,15.372738,10.857856,11.324948
22.387,15.310362,10.656621,11.251163
22.754,15.266587,10.451495,11.2012
23.121,15.222786,10.2482,11.148279
23.488,15.176773,10.061444,11.073432
23.855,15.124397,9.870892,11.011047
24.222,15.06071,9.673283,10.96956
24.589,15.017134,9.466494,10.906414
24.956,14.94099,9.285237,10.839352
25.323,14.897973,9.081911,10.805582
25.69,14.835168,8.886854,10.745115
26.057,14.774723,8.69347,10.679121
26.424,14.760358,8.514565,10.614851
26.791,14.691457,8.326012,10.577113
27.158,14.619059,8.113952,10.514901
27.525,14.558501,7.896983,10.444767
27.892,14.508692,7.724347,10.4276
28.259,14.421856,7.539091,10.366774
28.626,14.359231,7.335362,10.310867
28.993,14.306532,7.140905,10.235148
29.36,14.225073,6.945388,10.194581
29.727,14.14945,6.748446,10.130664
30.094,14.086124,6.549023,10.079613
30.461,13.977343,6.351337,10.047831
30.828,13.937672,6.151567,9.978542
31.195,13.871489,5.987082,9.965993
31.562,13.772459,5.790694,9.904215
31.929,13.729164,5.587618,9.845366
32.296,13.633714,5.398031,9.778265
32.663,13.582438,5.226614,9.745739
33.03,13.490059,5.043144,9.692427
33.397,13.417824,4.848476,9.638251
33.764,13.352096,4.674651,9.593399
34.131,13.2918,4.494193,9.515726
34.498,13.184352,4.305764,9.464598
34.865,13.093484,4.117488,9.440795
35.232,13.041971,3.927141,9.400094
35.599,12.955358,3.744783,9.336308
35.966,12.860809,3.58105,9.288326
36.333,12.811288,3.384412,9.240409
36.7,12.729757,3.205278,9.185995
37.067,12.659536,3.021956,9.137876
37.434,12.581147,2.840287,9.093568
37.801,12.497788,2.650001,9.03807
38.168,12.383621,2.48536,9.004765
38.535,12.321815,2.29495,8.972011
38.902,12.282751,2.121879,8.887896
39.269,12.177067,1.945892,8.846465
39.636,12.103152,1.750769,8.809673
40.003,12.015597,1.567267,8.756354
40.37,11.967061,1.388645,8.7199
40.737,11.898259,1.218656,8.657652
41.104,11.831706,1.00888,8.621531
41.471,11.753848,0.852424,8.573029
